"NAME","Total","White","Black","Asian","Hispanic","Other","p_White","p_Black","p_Asian","p_Hispanic","p_Other","entropy5","entropy4","entropy_rice","gini_simpson","FIPS"
"Cleveland-Akron-Elyria, OH CSA",2881937,2161351,497033,54645,112307,56601,0.7499646938847032,0.17246490815031695,0.018961205605813033,0.03896927656642043,0.019639915792746338,0.4956610030774773,0.5158692458763245,0.5197647807060036,0.4055449552566439,"184"
"Clovis-Portales, NM CSA",68222,35567,3070,735,27030,1820,0.5213420890621794,0.04500014658028202,0.010773650728504001,0.39620650230131044,0.026677611327724195,0.6160102964329905,0.6436127319585172,0.6454275071737585,0.5683700540180245,"188"
"Columbia-Newberry, SC CSA",805106,470617,263862,12659,41843,16125,0.5845404207644708,0.3277357267241829,0.015723395428676474,0.051972038464500325,0.020028418618169532,0.6068962818816876,0.6467378628820704,0.6480865208542937,0.5475523344227604,"192"
"Columbus-Auburn-Opelika, GA-AL CSA (part); Columbus-Auburn-Opelika, GA-AL CSA (part)",456564,248685,166691,8563,21699,10926,0.5446881488685047,0.3650988689427988,0.01875531141307681,0.04752674323862591,0.023930927536993718,0.6259817306185073,0.6610743303575911,0.6623085020221561,0.5668343940570381,"194"
"Columbus-Marion-Chillicothe, OH CSA",2071052,1610235,279867,58026,69968,52956,0.7774961710280572,0.13513277310275165,0.028017645138799025,0.03378379683368646,0.025569613896705635,0.4812272401686417,0.48526453204817555,0.4910632365886878,0.37465869914782013,"198"
"Columbus-West Point, MS CSA",80413,40123,37881,439,1113,857,0.4989616106848395,0.471080546677776,0.0054593162797060175,0.013841045602079266,0.010657480755599219,0.5204135954820123,0.567670928879674,0.5692676218753382,0.5287854690309017,"200"
"Corbin-London, KY CSA",94486,91253,610,409,1027,1187,0.9657832906462333,0.006455982896937112,0.004328683614503736,0.0108693351395974,0.012562707702728446,0.12046166141168874,0.0923418859887656,0.10018673792498055,0.06692625422033238,"202"
"Corpus Christi-Kingsville, TX CSA",460662,163115,14409,7160,270045,5933,0.35408824691422347,0.03127889862849551,0.015542849203971676,0.5862107141461635,0.012879291107145804,0.5653212346326936,0.6145692196942042,0.6158843628318312,0.5295926862172451,"204"
"Dallas-Fort Worth, TX CSA",6731317,3491103,957613,340035,1795412,147154,0.5186359519244154,0.1422623537117625,0.05051537462876878,0.2667252188539033,0.021861100881150005,0.7485911127809944,0.8109320809031799,0.8088000250417228,0.6366061189095615,"206"
"Dayton-Springfield-Greenville, OH CSA",1072891,870437,137957,16400,22113,25984,0.8113004955769039,0.12858435759084566,0.015285802565218647,0.020610667812480485,0.0242186764545513,0.41469792080041573,0.40910071956075345,0.41644964385536903,0.3240125691826703,"212"
"Denver-Aurora-Boulder, CO CSA",3090874,2078277,139653,106823,682087,84034,0.6723913689137765,0.04518236589391868,0.034560774719383576,0.22067771122342741,0.027187779249493834,0.5931134970221281,0.6152679984338661,0.6178830144240749,0.4952161261019521,"216"
"Des Moines-Newton-Pella, IA CSA",639784,543552,27183,17649,39072,12328,0.849586735523239,0.042487777124779615,0.027585872732047066,0.06107061133132432,0.019269003288609907,0.3843372770837281,0.3849614324618467,0.3913084723905058,0.2715352731874541,"218"
"Detroit-Warren-Flint, MI CSA",5218852,3615111,1106337,172234,199575,125595,0.6927023414344764,0.2119885752652116,0.03300227712914641,0.03824116874745634,0.024065637423709277,0.5655715681233653,0.5889331620343803,0.5919092158795288,0.4720936179407299,"220"
"Dothan-Enterprise-Ozark, AL CSA",245838,175993,51279,2071,10305,6190,0.7158901390346488,0.20858858272520928,0.008424246861754489,0.041917848339150174,0.025179183039237222,0.5170245358077121,0.5287570492553108,0.5333757122457436,0.4415300467865446,"222"
"Eau Claire-Menomonie, WI CSA",205008,191171,2013,5187,3230,3407,0.9325050729727621,0.009819129009599626,0.02530145165066729,0.01575548271286974,0.016618863654101302,0.20943839741579942,0.1852235096379175,0.19403311175381424,0.12917328826525631,"232"
