"NAME","Total","White","Black","Asian","Hispanic","Other","FIPS"
"Emporia, KS Micro Area",36480,27301,765,767,6855,792,"21380"
"Enid, OK Micro Area",60580,48744,1765,577,5353,4141,"21420"
"Enterprise-Ozark, AL Micro Area",100199,71839,17803,1156,6001,3400,"21460"
"Erie, PA Metro Area",280566,242787,19485,3036,9518,5740,"21500"
"Escanaba, MI Micro Area",37069,34920,71,145,318,1615,"21540"
"Espanola, NM Micro Area",40246,5148,103,138,28703,6154,"21580"
"Eufaula, AL-GA Micro Area (part); Eufaula, AL-GA Micro Area (part)",29970,14102,14018,109,1421,320,"21640"
"Eugene-Springfield, OR Metro Area",351715,297808,3102,8169,26167,16469,"21660"
"Eureka-Arcata-Fortuna, CA Micro Area",134623,103958,1393,2854,13211,13207,"21700"
"Evanston, WY Micro Area",21118,18696,48,59,1855,460,"21740"
"Evansville, IN-KY Metro Area (part); Evansville, IN-KY Metro Area (part)",358676,318979,21948,3396,6946,7407,"21780"
"Fairbanks, AK Metro Area",97581,72259,4154,2512,5651,13005,"21820"
"Fairmont, MN Micro Area",20840,19766,62,103,744,165,"21860"
"Fairmont, WV Micro Area",56418,52874,1838,281,514,911,"21900"
"Fallon, NV Micro Area",24877,19030,366,633,3009,1839,"21980"
"Fargo, ND-MN Metro Area (part); Fargo, ND-MN Metro Area (part)",208777,188964,4197,4360,5071,6185,"22020"
"Faribault-Northfield, MN Micro Area",64142,54566,2021,1289,5122,1144,"22060"
"Farmington, MO Micro Area",65359,60631,2759,242,778,949,"22100"
"Farmington, NM Metro Area",130044,55254,617,445,24776,48952,"22140"
"Fayetteville, NC Metro Area",366383,169891,129331,7352,36013,23796,"22180"
"Fayetteville-Springdale-Rogers, AR-MO Metro Area (part); Fayetteville-Springdale-Rogers, AR-MO Metro Area (part)",463204,353302,8629,10884,69087,21302,"22220"
"Fergus Falls, MN Micro Area",57303,54244,422,264,1490,883,"22260"
"Fernley, NV Micro Area",51980,40634,363,701,7674,2608,"22280"
"Findlay, OH Micro Area",74782,67888,1084,1258,3363,1189,"22300"
"Fitzgerald, GA Micro Area",27172,16883,8546,181,1254,308,"22340"
"Flagstaff, AZ Metro Area",134421,74231,1495,1787,18166,38742,"22380"
"Flint, MI Metro Area",425790,309683,87352,3834,12983,11938,"22420"
"Florence, SC Metro Area",205566,112098,84667,1861,4170,2770,"22500"
"Florence-Muscle Shoals, AL Metro Area",147137,122562,17892,899,3175,2609,"22520"
"Fond du Lac, WI Metro Area",101633,93398,1226,1129,4368,1512,"22540"
"Forest City, NC Micro Area",67810,57054,6804,289,2397,1266,"22580"
"Forrest City, AR Micro Area",28258,11973,14565,133,1149,438,"22620"
"Fort Collins-Loveland, CO Metro Area",299630,253047,2259,5675,31628,7021,"22660"
"Fort Dodge, IA Micro Area",38013,34210,1435,241,1446,681,"22700"
"Fort Leonard Wood, MO Micro Area",52274,37863,5680,1295,4705,2731,"22780"
"Fort Madison-Keokuk, IA-MO Micro Area (part); Fort Madison-Keokuk, IA-MO Micro Area (part)",43001,39811,1113,203,1134,740,"22800"
"Fort Morgan, CO Micro Area",28159,17370,755,135,9506,393,"22820"
"Fort Payne, AL Micro Area",71109,57997,1029,166,9690,2227,"22840"
"Fort Polk South, LA Micro Area",52334,37794,7280,881,3775,2604,"22860"
"Fort Smith, AR-OK Metro Area (part); Fort Smith, AR-OK Metro Area (part)",298592,226828,10402,6532,24468,30362,"22900"
"Fort Valley, GA Micro Area",27695,12499,12647,222,1890,437,"22980"
