"NAME","P0050001","P0050002","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","P0050010","P0050011","P0050012","P0050013","P0050014","P0050015","P0050016","P0050017","FIPS"
"Brownsville-Harlingen, TX Metro Area",406220,48473,43427,1192,385,2486,76,191,716,357747,309996,963,1303,203,37,39714,5531,"15180"
"Brownwood, TX Micro Area",38106,30653,28478,1303,170,160,14,36,492,7453,4484,79,46,3,0,2533,308,"15220"
"Brunswick, GA Metro Area",112370,106674,77516,26188,248,976,81,131,1534,5696,2498,225,95,28,26,2479,345,"15260"
"Bucyrus, OH Micro Area",43784,43251,42227,375,48,156,7,28,410,533,329,3,12,0,0,111,78,"15340"
"Buffalo-Niagara Falls, NY Metro Area",1135509,1089084,903063,134427,7334,25428,220,1208,17404,46425,23854,4355,859,184,61,13327,3785,"15380"
"Burley, ID Micro Area",43021,30804,29837,82,252,174,16,39,404,12217,5035,59,174,22,1,6303,623,"15420"
"Burlington, IA-IL Micro Area (part); Burlington, IA-IL Micro Area (part)",47656,46535,43192,2020,103,300,23,28,869,1121,710,43,11,5,3,217,132,"15460"
"Burlington, NC Metro Area",151131,134492,101718,27985,542,1806,55,211,2175,16639,5702,384,478,31,3,9080,961,"15500"
"Burlington-South Burlington, VT Metro Area",211261,207754,194738,3395,923,4612,56,187,3843,3507,2303,162,57,39,10,561,375,"15540"
"Butte-Silver Bow, MT Micro Area",34200,32947,31515,103,587,161,22,13,546,1253,777,8,68,4,1,220,175,"15580"
"Cadillac, MI Micro Area",47584,46759,45476,164,260,238,19,24,578,825,533,8,29,3,0,158,94,"15620"
"Calhoun, GA Micro Area",55186,47448,44107,1945,130,522,49,44,651,7738,2925,60,72,18,22,4208,433,"15660"
"Cambridge, MD Micro Area",32618,31488,21581,8937,99,299,8,28,536,1130,484,105,13,2,1,435,90,"15700"
"Cambridge, OH Micro Area",40087,39738,38276,580,86,109,8,26,653,349,210,10,14,1,2,50,62,"15740"
"Camden, AR Micro Area",31488,30928,18645,11624,90,106,4,22,437,560,239,36,11,0,2,214,58,"15780"
"Campbellsville, KY Micro Area",24512,24079,22329,1210,29,128,10,21,352,433,210,6,2,1,0,166,48,"15820"
"Cañon City, CO Micro Area",46824,41054,37647,1805,686,274,16,19,607,5770,4578,38,124,8,6,742,274,"15860"
"Canton, IL Micro Area",37069,36173,34397,1268,82,111,2,14,299,896,228,1,49,1,0,582,35,"15900"
"Canton-Massillon, OH Metro Area",404422,398219,357541,28405,878,2792,63,572,7968,6203,3852,271,160,29,22,1195,674,"15940"
"Cape Coral-Fort Myers, FL Metro Area",618754,505446,439048,47751,1292,8252,197,1581,7325,113308,74448,3318,901,209,183,28709,5540,"15980"
"Cape Girardeau-Jackson, MO-IL Metro Area (part); Cape Girardeau-Jackson, MO-IL Metro Area (part)",96275,94546,83552,8230,269,929,25,70,1471,1729,709,47,20,11,4,772,166,"16020"
"Carbondale, IL Micro Area",60218,57815,45746,8488,176,1890,28,111,1376,2403,1129,101,51,20,4,881,217,"16060"
"Carlsbad-Artesia, NM Micro Area",53829,30098,28111,589,439,325,16,63,555,23731,13556,154,371,31,6,8566,1047,"16100"
"Carson City, NV Metro Area",55274,43497,39083,1003,1096,1139,91,67,1018,11777,5724,51,210,42,10,5138,602,"16180"
"Casper, WY Metro Area",75450,70219,67191,621,612,479,35,64,1217,5231,2824,44,169,31,4,1566,593,"16220"
"Cedar City, UT Micro Area",46163,42600,40226,204,907,333,137,49,744,3563,1622,23,112,16,2,1453,335,"16260"
"Cedar Rapids, IA Metro Area",257940,251861,233695,8658,562,3939,166,168,4673,6079,3659,198,97,23,18,1462,622,"16300"
"Cedartown, GA Micro Area",41475,36590,30492,5150,73,270,16,53,536,4885,1482,40,42,11,20,3067,223,"16340"
"Celina, OH Micro Area",40814,40200,39453,91,83,180,68,18,307,614,308,10,18,1,3,211,63,"16380"
"Central City, KY Micro Area",31499,31132,29301,1417,46,43,4,21,300,367,213,9,0,0,1,98,46,"16420"
"Centralia, IL Micro Area",39437,38895,36456,1536,105,224,9,11,554,542,278,21,17,0,0,154,72,"16460"
"Centralia, WA Micro Area",75455,68928,64881,370,952,643,103,73,1906,6527,2831,35,121,21,14,2974,531,"16500"
"Chambersburg, PA Micro Area",149618,143180,135004,4348,230,1294,17,142,2145,6438,2670,352,72,16,12,2707,609,"16540"
"Champaign-Urbana, IL Metro Area",231891,220823,172266,24687,420,17964,135,410,4941,11068,5404,402,191,93,5,4076,897,"16580"
"Charleston, WV Metro Area",304284,301762,279242,14574,573,2443,64,255,4611,2522,1524,177,33,19,4,482,283,"16620"
"Charleston-Mattoon, IL Micro Area",64921,63691,60145,2057,96,548,10,41,794,1230,740,48,25,10,3,293,111,"16660"
"Charleston-North Charleston-Summerville, SC Metro Area",664607,628900,420240,182363,2601,10657,519,1183,11337,35707,15523,1656,438,160,110,15262,2558,"16700"
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area (part); Charlotte-Gastonia-Rock Hill, NC-SC Metro Area (part)",1758038,1585272,1076021,414484,6577,54831,756,3667,28936,172766,69059,6621,2107,484,233,83800,10462,"16740"
"Charlottesville, VA Metro Area",201559,191919,154343,24845,340,7804,71,363,4153,9640,4801,264,168,65,15,3586,741,"16820"
"Chattanooga, TN-GA Metro Area (part); Chattanooga, TN-GA Metro Area (part)",528143,509453,420172,72816,1401,7173,220,532,7139,18690,8324,483,399,88,155,7836,1405,"16860"
"Chester, SC Micro Area",33140,32661,19590,12349,130,104,5,40,443,479,224,38,6,5,0,147,59,"16900"
"Cheyenne, WY Metro Area",91738,79760,74120,2063,595,935,119,115,1813,11978,7085,185,283,41,23,3363,998,"16940"
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area (part); Chicago-Joliet-Naperville, IL-IN-WI Metro Area (part); Chicago-Joliet-Naperville, IL-IN-WI Metro Area (part)",9461105,7504025,5204489,1613644,12777,526857,1975,13026,131257,1957080,979392,32349,23748,5944,986,815750,98911,"16980"
"Chico, CA Metro Area",220000,188884,165416,3133,3395,8921,401,318,7300,31116,14680,282,1000,136,51,11823,3144,"17020"
"Chillicothe, OH Micro Area",78064,77316,70378,4804,212,295,7,106,1514,748,457,36,20,5,2,110,118,"17060"
"Cincinnati-Middletown, OH-KY-IN Metro Area (part); Cincinnati-Middletown, OH-KY-IN Metro Area (part); Cincinnati-Middletown, OH-KY-IN Metro Area (part)",2130151,2075031,1738775,253817,3280,40118,1159,3244,34638,55120,27670,2088,825,304,238,19246,4749,"17140"
"Claremont, NH Micro Area",43742,43249,42087,175,118,270,4,30,565,493,334,10,11,1,1,87,49,"17200"
