"NAME","P0050001","P0050002","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","P0050010","P0050011","P0050012","P0050013","P0050014","P0050015","P0050016","P0050017","FIPS"
"Nashville-Davidson--Murfreesboro--Columbia, TN CSA",1670890,1561614,1240988,249925,4230,36456,695,2248,27072,109276,47640,2493,1217,339,191,50224,7172,"400"
"New Orleans-Metairie-Bogalusa, LA CSA",1214932,1122123,659897,407147,4425,31598,365,2877,15814,92809,51358,4573,900,320,140,28249,7269,"406"
"New York-Newark-Bridgeport, NY-NJ-CT-PA CSA (part); New York-Newark-Bridgeport, NY-NJ-CT-PA CSA (part); New York-Newark-Bridgeport, NY-NJ-CT-PA CSA (part); New York-Newark-Bridgeport, NY-NJ-CT-PA CSA (part)",22085649,17295107,11421394,3383420,36371,1990071,5687,104947,353217,4790542,2174566,343685,65978,18835,4284,1839218,343976,"408"
"Oklahoma City-Shawnee, OK CSA",1322429,1177509,896746,130143,56000,35181,974,1318,57147,144920,56953,2468,4264,422,185,68743,11885,"416"
"Omaha-Council Bluffs-Fremont, NE-IA CSA (part); Omaha-Council Bluffs-Fremont, NE-IA CSA (part)",902041,820844,713292,67047,3780,17972,557,1272,16924,81197,34135,1179,1577,216,139,38061,5890,"420"
"Orlando-Deltona-Daytona Beach, FL CSA",2818120,2210214,1660043,388449,6878,93164,1896,11070,48714,607906,401540,28068,4368,1921,439,137436,34134,"422"
"Paducah-Mayfield, KY-IL CSA (part); Paducah-Mayfield, KY-IL CSA (part)",135883,131898,118498,9921,290,717,28,107,2337,3985,1991,73,54,11,10,1530,316,"424"
"Peoria-Canton, IL CSA",416255,404843,353890,35597,853,7190,98,467,6748,11412,5529,335,275,54,6,4038,1175,"426"
"Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA (part); Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA (part); Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA (part); Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA (part)",6533683,5955703,4271182,1250196,11179,300754,1652,11561,109179,577980,237747,43468,8192,2304,751,240039,45479,"428"
"Pittsburgh-New Castle, PA CSA",2447393,2416493,2136035,197871,2525,41401,457,2950,35254,30900,18732,2385,457,207,47,5599,3473,"430"
"Portland-Lewiston-South Portland, ME CSA",621800,612155,579484,11708,1857,8824,146,570,9566,9645,5864,366,183,88,16,2051,1077,"438"
"Port St. Lucie-Sebastian-Vero Beach, FL CSA",562135,482794,394344,70940,1189,7382,228,1173,7538,79341,49029,2335,1182,158,88,22216,4333,"442"
"Raleigh-Durham-Cary, NC CSA",1749525,1565739,1069497,382314,5982,72503,670,3451,31322,183786,70675,6470,3700,508,160,90990,11283,"450"
"Reno-Sparks-Fernley, NV CSA",477397,375771,322379,9491,6900,22055,2494,754,11698,101626,49548,780,1659,526,193,42649,6271,"456"
"Rochester-Batavia-Seneca Falls, NY CSA",1149653,1082366,911414,119280,3148,27145,244,1414,19721,67287,31616,6550,739,300,64,21721,6297,"464"
"Rockford-Freeport-Rochelle, IL CSA",450639,401348,342990,41028,790,7925,94,431,8090,49291,22544,902,569,118,28,21521,3609,"466"
"Sacramento--Arden-Arcade--Yuba City, CA-NV CSA (part); Sacramento--Arden-Arcade--Yuba City, CA-NV CSA (part)",2461780,1969202,1412158,154774,16343,270665,15556,5260,94446,492578,217090,8522,10240,5767,1034,202158,47767,"472"
"Saginaw-Bay City-Saginaw Township North, MI CSA",307940,287274,239428,38796,1136,2633,68,216,4997,20666,11295,1020,305,53,11,5596,2386,"474"
"St. Louis-St. Charles-Farmington, MO-IL CSA (part); St. Louis-St. Charles-Farmington, MO-IL CSA (part)",2878255,2805458,2173585,516342,5975,59922,963,2976,45695,72797,40713,2879,1082,394,106,21440,6183,"476"
"Salisbury-Ocean Pines, MD CSA",176657,169694,120894,41589,407,3212,33,333,3226,6963,3254,498,59,16,32,2542,562,"480"
"Salt Lake City-Ogden-Clearfield, UT CSA",1744886,1485994,1358783,21490,9874,42911,18135,2731,32070,258892,112412,2579,3851,881,454,119604,19111,"482"
"San Jose-San Francisco-Oakland, CA CSA",7468390,5671312,3210454,462837,21900,1657828,41360,20703,256230,1797078,770758,21773,29741,19111,3469,807964,144262,"488"
"Santa Fe-Espanola, NM CSA",184416,82698,68439,1050,8922,1707,66,544,1970,101718,62139,393,2011,135,55,32474,4511,"492"
"Sarasota-Bradenton-Punta Gorda, FL CSA",862259,775058,696556,52886,1623,11905,319,1250,10519,87201,53915,2248,783,185,92,25333,4645,"494"
"Savannah-Hinesville-Fort Stewart, GA CSA",425528,400384,234825,146025,1166,8419,677,778,8494,25144,11528,2153,228,167,76,8599,2393,"496"
"Seattle-Tacoma-Olympia, WA CSA",4199312,3827515,2943290,200700,41521,420305,32085,8513,181101,371797,164171,7818,8266,4340,1238,145491,40473,"500"
"Shreveport-Bossier City-Minden, LA CSA",439811,425325,244119,168100,1827,4679,289,404,5907,14486,7178,897,260,93,19,4847,1192,"508"
"Sioux City-Vermillion, IA-NE-SD CSA (part); Sioux City-Vermillion, IA-NE-SD CSA (part); Sioux City-Vermillion, IA-NE-SD CSA (part)",157441,134825,122263,3307,2762,3383,161,91,2858,22616,9877,107,590,42,9,10456,1535,"512"
"South Bend-Elkhart-Mishawaka, IN-MI CSA (part); South Bend-Elkhart-Mishawaka, IN-MI CSA (part)",563834,511012,442058,47368,1781,7408,248,786,11363,52822,22202,938,616,97,44,25385,3540,"515"
"Sunbury-Lewisburg-Selinsgrove, PA CSA",179177,173921,165604,5237,283,1056,36,137,1568,5256,2442,436,75,12,7,1825,459,"526"
"Syracuse-Auburn, NY CSA",742603,718010,628145,53827,4622,16042,171,808,14395,24593,12154,2910,523,108,41,6245,2612,"532"
"Toledo-Fremont, OH CSA",712373,669205,556493,87511,1424,9075,139,880,13683,43168,22882,1656,534,120,29,12780,5167,"534"
"Tulsa-Bartlesville, OK CSA",988454,907452,674319,78877,79848,16869,539,839,56161,81002,30598,1282,2787,231,54,39322,6728,"538"
"Tyler-Jacksonville, TX CSA",260559,213972,162138,44596,859,2771,69,261,3278,46587,21398,531,624,63,19,21970,1982,"540"
"Union City-Martin, TN-KY CSA (part); Union City-Martin, TN-KY CSA (part)",73641,71889,62657,7677,155,485,16,40,859,1752,800,35,20,5,6,772,114,"542"
"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA (part); Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA (part); Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA (part); Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA (part)",8572971,7660842,4560162,2207232,19802,640825,4509,20447,207865,912129,413555,38760,12500,4378,1130,369223,72583,"548"
"Wausau-Merrill, WI CSA",162806,159474,148770,972,655,7231,35,79,1732,3332,1605,26,79,39,7,1275,301,"554"
"Wichita-Winfield, KS CSA",659372,583998,489562,47697,6122,21500,436,676,18005,75374,38211,1364,1510,250,52,28008,5979,"556"
"Williamsport-Lock Haven, PA CSA",155349,153353,144328,5672,220,862,39,121,2111,1996,1105,156,31,9,1,471,223,"558"
"York-Hanover-Gettysburg, PA CSA",536379,505867,466609,23943,781,6073,128,688,7645,30512,13505,1962,374,80,15,12182,2394,"564"
"Youngstown-Warren-East Liverpool, OH-PA CSA (part); Youngstown-Warren-East Liverpool, OH-PA CSA (part)",673614,657081,579120,62543,1014,3671,107,623,10003,16533,8690,1438,195,45,28,4347,1790,"566"
